Gregorian Date,Chinese year (Gan-Zhi),Chinese year (Zodiac),Lunar month,Lunar Date
12-Apr-28,戊申年,猴,三月,十八
13-Apr-28,戊申年,猴,三月,十九
14-Apr-28,戊申年,猴,三月,二十
15-Apr-28,戊申年,猴,三月,廿一
16-Apr-28,戊申年,猴,三月,廿二
17-Apr-28,戊申年,猴,三月,廿三
18-Apr-28,戊申年,猴,三月,廿四
19-Apr-28,戊申年,猴,三月,廿五
20-Apr-28,戊申年,猴,三月,廿六
21-Apr-28,戊申年,猴,三月,廿七
22-Apr-28,戊申年,猴,三月,廿八
23-Apr-28,戊申年,猴,三月,廿九
24-Apr-28,戊申年,猴,三月,三十
25-Apr-28,戊申年,猴,四月,初一
26-Apr-28,戊申年,猴,四月,初二
27-Apr-28,戊申年,猴,四月,初三
28-Apr-28,戊申年,猴,四月,初四
29-Apr-28,戊申年,猴,四月,初五
30-Apr-28,戊申年,猴,四月,初六
1-May-28,戊申年,猴,四月,初七
2-May-28,戊申年,猴,四月,初八
3-May-28,戊申年,猴,四月,初九
4-May-28,戊申年,猴,四月,初十
5-May-28,戊申年,猴,四月,十一
6-May-28,戊申年,猴,四月,十二
7-May-28,戊申年,猴,四月,十三
8-May-28,戊申年,猴,四月,十四
9-May-28,戊申年,猴,四月,十五
10-May-28,戊申年,猴,四月,十六
11-May-28,戊申年,猴,四月,十七
12-May-28,戊申年,猴,四月,十八
13-May-28,戊申年,猴,四月,十九
14-May-28,戊申年,猴,四月,二十
15-May-28,戊申年,猴,四月,廿一
16-May-28,戊申年,猴,四月,廿二
17-May-28,戊申年,猴,四月,廿三
18-May-28,戊申年,猴,四月,廿四
19-May-28,戊申年,猴,四月,廿五
20-May-28,戊申年,猴,四月,廿六
21-May-28,戊申年,猴,四月,廿七
22-May-28,戊申年,猴,四月,廿八
23-May-28,戊申年,猴,四月,廿九
24-May-28,戊申年,猴,五月,初一
25-May-28,戊申年,猴,五月,初二
26-May-28,戊申年,猴,五月,初三
27-May-28,戊申年,猴,五月,初四
28-May-28,戊申年,猴,五月,初五
29-May-28,戊申年,猴,五月,初六
30-May-28,戊申年,猴,五月,初七
31-May-28,戊申年,猴,五月,初八
1-Jun-28,戊申年,猴,五月,初九
2-Jun-28,戊申年,猴,五月,初十
3-Jun-28,戊申年,猴,五月,十一
4-Jun-28,戊申年,猴,五月,十二
5-Jun-28,戊申年,猴,五月,十三
6-Jun-28,戊申年,猴,五月,十四
7-Jun-28,戊申年,猴,五月,十五
8-Jun-28,戊申年,猴,五月,十六
9-Jun-28,戊申年,猴,五月,十七
10-Jun-28,戊申年,猴,五月,十八
11-Jun-28,戊申年,猴,五月,十九
12-Jun-28,戊申年,猴,五月,二十
13-Jun-28,戊申年,猴,五月,廿一
14-Jun-28,戊申年,猴,五月,廿二
15-Jun-28,戊申年,猴,五月,廿三
16-Jun-28,戊申年,猴,五月,廿四
17-Jun-28,戊申年,猴,五月,廿五
18-Jun-28,戊申年,猴,五月,廿六
19-Jun-28,戊申年,猴,五月,廿七
20-Jun-28,戊申年,猴,五月,廿八
21-Jun-28,戊申年,猴,五月,廿九
22-Jun-28,戊申年,猴,五月,三十
23-Jun-28,戊申年,猴,閏五月,初一
24-Jun-28,戊申年,猴,閏五月,初二
25-Jun-28,戊申年,猴,閏五月,初三
26-Jun-28,戊申年,猴,閏五月,初四
27-Jun-28,戊申年,猴,閏五月,初五
28-Jun-28,戊申年,猴,閏五月,初六
29-Jun-28,戊申年,猴,閏五月,初七
30-Jun-28,戊申年,猴,閏五月,初八
1-Jul-28,戊申年,猴,閏五月,初九
2-Jul-28,戊申年,猴,閏五月,初十
3-Jul-28,戊申年,猴,閏五月,十一
4-Jul-28,戊申年,猴,閏五月,十二
5-Jul-28,戊申年,猴,閏五月,十三
6-Jul-28,戊申年,猴,閏五月,十四
7-Jul-28,戊申年,猴,閏五月,十五
8-Jul-28,戊申年,猴,閏五月,十六
9-Jul-28,戊申年,猴,閏五月,十七
10-Jul-28,戊申年,猴,閏五月,十八
11-Jul-28,戊申年,猴,閏五月,十九
12-Jul-28,戊申年,猴,閏五月,二十
13-Jul-28,戊申年,猴,閏五月,廿一
14-Jul-28,戊申年,猴,閏五月,廿二
15-Jul-28,戊申年,猴,閏五月,廿三
16-Jul-28,戊申年,猴,閏五月,廿四
17-Jul-28,戊申年,猴,閏五月,廿五
18-Jul-28,戊申年,猴,閏五月,廿六
19-Jul-28,戊申年,猴,閏五月,廿七
20-Jul-28,戊申年,猴,閏五月,廿八
21-Jul-28,戊申年,猴,閏五月,廿九
22-Jul-28,戊申年,猴,六月,初一
23-Jul-28,戊申年,猴,六月,初二
24-Jul-28,戊申年,猴,六月,初三
25-Jul-28,戊申年,猴,六月,初四
26-Jul-28,戊申年,猴,六月,初五
27-Jul-28,戊申年,猴,六月,初六
28-Jul-28,戊申年,猴,六月,初七
29-Jul-28,戊申年,猴,六月,初八
30-Jul-28,戊申年,猴,六月,初九
31-Jul-28,戊申年,猴,六月,初十
1-Aug-28,戊申年,猴,六月,十一
2-Aug-28,戊申年,猴,六月,十二
3-Aug-28,戊申年,猴,六月,十三
4-Aug-28,戊申年,猴,六月,十四
5-Aug-28,戊申年,猴,六月,十五
6-Aug-28,戊申年,猴,六月,十六
7-Aug-28,戊申年,猴,六月,十七
8-Aug-28,戊申年,猴,六月,十八
9-Aug-28,戊申年,猴,六月,十九
10-Aug-28,戊申年,猴,六月,二十
11-Aug-28,戊申年,猴,六月,廿一
12-Aug-28,戊申年,猴,六月,廿二
13-Aug-28,戊申年,猴,六月,廿三
14-Aug-28,戊申年,猴,六月,廿四
15-Aug-28,戊申年,猴,六月,廿五
16-Aug-28,戊申年,猴,六月,廿六
17-Aug-28,戊申年,猴,六月,廿七
18-Aug-28,戊申年,猴,六月,廿八
19-Aug-28,戊申年,猴,六月,廿九
20-Aug-28,戊申年,猴,七月,初一
21-Aug-28,戊申年,猴,七月,初二
22-Aug-28,戊申年,猴,七月,初三
23-Aug-28,戊申年,猴,七月,初四
24-Aug-28,戊申年,猴,七月,初五
25-Aug-28,戊申年,猴,七月,初六
26-Aug-28,戊申年,猴,七月,初七
27-Aug-28,戊申年,猴,七月,初八
28-Aug-28,戊申年,猴,七月,初九
29-Aug-28,戊申年,猴,七月,初十
30-Aug-28,戊申年,猴,七月,十一
31-Aug-28,戊申年,猴,七月,十二
1-Sep-28,戊申年,猴,七月,十三
2-Sep-28,戊申年,猴,七月,十四
3-Sep-28,戊申年,猴,七月,十五
4-Sep-28,戊申年,猴,七月,十六
5-Sep-28,戊申年,猴,七月,十七
6-Sep-28,戊申年,猴,七月,十八
7-Sep-28,戊申年,猴,七月,十九
8-Sep-28,戊申年,猴,七月,二十
9-Sep-28,戊申年,猴,七月,廿一
10-Sep-28,戊申年,猴,七月,廿二
11-Sep-28,戊申年,猴,七月,廿三
12-Sep-28,戊申年,猴,七月,廿四
13-Sep-28,戊申年,猴,七月,廿五
14-Sep-28,戊申年,猴,七月,廿六
15-Sep-28,戊申年,猴,七月,廿七
16-Sep-28,戊申年,猴,七月,廿八
17-Sep-28,戊申年,猴,七月,廿九
18-Sep-28,戊申年,猴,七月,三十
19-Sep-28,戊申年,猴,八月,初一
20-Sep-28,戊申年,猴,八月,初二
21-Sep-28,戊申年,猴,八月,初三
22-Sep-28,戊申年,猴,八月,初四
23-Sep-28,戊申年,猴,八月,初五
24-Sep-28,戊申年,猴,八月,初六
25-Sep-28,戊申年,猴,八月,初七
26-Sep-28,戊申年,猴,八月,初八
27-Sep-28,戊申年,猴,八月,初九
28-Sep-28,戊申年,猴,八月,初十
29-Sep-28,戊申年,猴,八月,十一
30-Sep-28,戊申年,猴,八月,十二
1-Oct-28,戊申年,猴,八月,十三
2-Oct-28,戊申年,猴,八月,十四
3-Oct-28,戊申年,猴,八月,十五
4-Oct-28,戊申年,猴,八月,十六
5-Oct-28,戊申年,猴,八月,十七
6-Oct-28,戊申年,猴,八月,十八
7-Oct-28,戊申年,猴,八月,十九
8-Oct-28,戊申年,猴,八月,二十
9-Oct-28,戊申年,猴,八月,廿一
10-Oct-28,戊申年,猴,八月,廿二
11-Oct-28,戊申年,猴,八月,廿三
12-Oct-28,戊申年,猴,八月,廿四
13-Oct-28,戊申年,猴,八月,廿五
14-Oct-28,戊申年,猴,八月,廿六
15-Oct-28,戊申年,猴,八月,廿七
16-Oct-28,戊申年,猴,八月,廿八
17-Oct-28,戊申年,猴,八月,廿九
18-Oct-28,戊申年,猴,九月,初一
19-Oct-28,戊申年,猴,九月,初二
20-Oct-28,戊申年,猴,九月,初三
21-Oct-28,戊申年,猴,九月,初四
22-Oct-28,戊申年,猴,九月,初五
23-Oct-28,戊申年,猴,九月,初六
24-Oct-28,戊申年,猴,九月,初七
25-Oct-28,戊申年,猴,九月,初八
26-Oct-28,戊申年,猴,九月,初九
27-Oct-28,戊申年,猴,九月,初十
28-Oct-28,戊申年,猴,九月,十一
29-Oct-28,戊申年,猴,九月,十二
30-Oct-28,戊申年,猴,九月,十三
31-Oct-28,戊申年,猴,九月,十四
1-Nov-28,戊申年,猴,九月,十五
2-Nov-28,戊申年,猴,九月,十六
3-Nov-28,戊申年,猴,九月,十七
4-Nov-28,戊申年,猴,九月,十八
5-Nov-28,戊申年,猴,九月,十九
6-Nov-28,戊申年,猴,九月,二十
7-Nov-28,戊申年,猴,九月,廿一
8-Nov-28,戊申年,猴,九月,廿二
9-Nov-28,戊申年,猴,九月,廿三
10-Nov-28,戊申年,猴,九月,廿四
11-Nov-28,戊申年,猴,九月,廿五
12-Nov-28,戊申年,猴,九月,廿六
13-Nov-28,戊申年,猴,九月,廿七
14-Nov-28,戊申年,猴,九月,廿八
15-Nov-28,戊申年,猴,九月,廿九
16-Nov-28,戊申年,猴,十月,初一
17-Nov-28,戊申年,猴,十月,初二
18-Nov-28,戊申年,猴,十月,初三
19-Nov-28,戊申年,猴,十月,初四
20-Nov-28,戊申年,猴,十月,初五
21-Nov-28,戊申年,猴,十月,初六
22-Nov-28,戊申年,猴,十月,初七
23-Nov-28,戊申年,猴,十月,初八
24-Nov-28,戊申年,猴,十月,初九
25-Nov-28,戊申年,猴,十月,初十
26-Nov-28,戊申年,猴,十月,十一
27-Nov-28,戊申年,猴,十月,十二
28-Nov-28,戊申年,猴,十月,十三
29-Nov-28,戊申年,猴,十月,十四
30-Nov-28,戊申年,猴,十月,十五
1-Dec-28,戊申年,猴,十月,十六
2-Dec-28,戊申年,猴,十月,十七
3-Dec-28,戊申年,猴,十月,十八
4-Dec-28,戊申年,猴,十月,十九
5-Dec-28,戊申年,猴,十月,二十
6-Dec-28,戊申年,猴,十月,廿一
7-Dec-28,戊申年,猴,十月,廿二
8-Dec-28,戊申年,猴,十月,廿三
9-Dec-28,戊申年,猴,十月,廿四
10-Dec-28,戊申年,猴,十月,廿五
11-Dec-28,戊申年,猴,十月,廿六
12-Dec-28,戊申年,猴,十月,廿七
13-Dec-28,戊申年,猴,十月,廿八
14-Dec-28,戊申年,猴,十月,廿九
15-Dec-28,戊申年,猴,十月,三十
16-Dec-28,戊申年,猴,十一月,初一
17-Dec-28,戊申年,猴,十一月,初二
18-Dec-28,戊申年,猴,十一月,初三
19-Dec-28,戊申年,猴,十一月,初四
20-Dec-28,戊申年,猴,十一月,初五
21-Dec-28,戊申年,猴,十一月,初六
22-Dec-28,戊申年,猴,十一月,初七
23-Dec-28,戊申年,猴,十一月,初八
24-Dec-28,戊申年,猴,十一月,初九
25-Dec-28,戊申年,猴,十一月,初十
26-Dec-28,戊申年,猴,十一月,十一
27-Dec-28,戊申年,猴,十一月,十二
28-Dec-28,戊申年,猴,十一月,十三
29-Dec-28,戊申年,猴,十一月,十四
30-Dec-28,戊申年,猴,十一月,十五
31-Dec-28,戊申年,猴,十一月,十六
