Month,Date,Time,Height(m),Time,Height(m),Time,Height(m),Time,Height(m)
02,19,0703,0.26,1205,1.87,1828,0.70,2337,2.69
02,20,0724,0.34,1220,1.99,1913,0.62,,
02,21,0016,2.51,0743,0.45,1238,2.13,1957,0.57
02,22,0055,2.26,0800,0.59,1301,2.26,2045,0.56
02,23,0138,1.95,0818,0.76,1331,2.37,2141,0.57
02,24,0230,1.60,0836,0.97,1413,2.41,2254,0.57
02,25,0535,1.29,0851,1.19,1513,2.40,,
02,26,0032,0.52,1647,2.38,,,,
02,27,0216,0.36,1014,1.56,1223,1.51,1831,2.44
02,28,0332,0.18,1030,1.66,1401,1.38,1949,2.55
03,01,0427,0.06,1048,1.73,1513,1.18,2047,2.65
03,02,0511,0.02,1103,1.79,1612,0.98,2135,2.69
03,03,0549,0.05,1117,1.88,1701,0.81,2218,2.67
03,04,0620,0.14,1131,1.99,1744,0.69,2258,2.58
03,05,0645,0.27,1147,2.09,1823,0.61,2335,2.43
03,06,0704,0.41,1204,2.18,1900,0.58,,
03,07,0010,2.22,0718,0.55,1221,2.25,1938,0.58
03,08,0044,1.98,0731,0.70,1239,2.30,2017,0.60
03,09,0122,1.72,0745,0.86,1300,2.32,2102,0.66
03,10,0209,1.45,0754,1.04,1327,2.30,2158,0.72
03,11,0448,1.24,0717,1.19,1407,2.22,2317,0.76
03,12,1523,2.13,,,,,,
03,13,0151,0.68,1723,2.13,,,,
03,14,0259,0.54,1016,1.63,1254,1.48,1842,2.24
03,15,0341,0.43,1021,1.69,1409,1.31,1942,2.38
03,16,0416,0.36,1023,1.74,1509,1.10,2032,2.52
03,17,0449,0.32,1028,1.81,1602,0.88,2119,2.63
03,18,0519,0.33,1036,1.92,1651,0.67,2204,2.66
03,19,0547,0.36,1049,2.07,1738,0.49,2249,2.60
03,20,0612,0.44,1107,2.25,1823,0.36,2333,2.46
03,21,0634,0.54,1128,2.43,1907,0.28,,
03,22,0018,2.24,0653,0.67,1151,2.58,1953,0.26
03,23,0109,1.97,0710,0.81,1218,2.67,2044,0.28
03,24,0221,1.68,0727,0.98,1251,2.68,2145,0.33
03,25,0405,1.46,0744,1.18,1334,2.59,2301,0.36
03,26,1440,2.42,,,,,,
03,27,0026,0.34,1652,2.29,,,,
03,28,0148,0.27,0932,1.70,1255,1.51,1851,2.33
03,29,0253,0.21,0948,1.80,1418,1.25,1954,2.41
03,30,0344,0.19,1003,1.88,1517,0.98,2043,2.44
03,31,0425,0.23,1011,1.98,1607,0.75,2126,2.43
04,01,0459,0.32,1018,2.11,1651,0.58,2208,2.36
04,02,0527,0.43,1031,2.25,1732,0.47,2250,2.26
04,03,0549,0.56,1049,2.37,1811,0.41,2333,2.12
04,04,0605,0.67,1107,2.47,1848,0.39,,
04,05,0018,1.96,0620,0.78,1126,2.53,1926,0.40
04,06,0110,1.78,0636,0.89,1146,2.57,2006,0.44
04,07,0212,1.61,0652,1.03,1211,2.55,2052,0.50
04,08,0319,1.47,0703,1.17,1241,2.48,2148,0.55
04,09,0437,1.39,0701,1.31,1320,2.36,2254,0.59
04,10,1425,2.20,,,,,,
04,11,0010,0.58,1630,2.10,,,,
04,12,0125,0.54,0918,1.70,1241,1.50,1810,2.15
04,13,0222,0.49,0912,1.78,1359,1.26,1916,2.26
04,14,0307,0.47,0916,1.87,1457,0.99,2011,2.36
04,15,0345,0.47,0923,2.01,1548,0.71,2102,2.41
04,16,0420,0.51,0935,2.21,1637,0.46,2152,2.38
04,17,0451,0.59,0954,2.44,1726,0.26,2245,2.28
04,18,0518,0.69,1018,2.67,1814,0.13,2344,2.13
04,19,0541,0.80,1045,2.84,1905,0.08,,
04,20,0050,1.95,0601,0.92,1115,2.93,1958,0.08
04,21,0156,1.77,0622,1.04,1148,2.92,2056,0.11
04,22,0301,1.63,0647,1.18,1227,2.80,2156,0.16
04,23,0414,1.53,0718,1.34,1317,2.59,2259,0.20
04,24,1439,2.35,,,,,,
04,25,0004,0.24,0748,1.66,1102,1.57,1715,2.21
04,26,0107,0.28,0824,1.80,1255,1.37,1846,2.19
04,27,0203,0.33,0848,1.91,1407,1.09,1943,2.16
04,28,0250,0.41,0901,2.02,1503,0.83,2032,2.12
04,29,0329,0.51,0907,2.16,1553,0.62,2120,2.05
04,30,0402,0.62,0918,2.32,1638,0.46,2212,1.97
05,01,0427,0.73,0936,2.47,1722,0.37,2305,1.90
05,02,0448,0.82,0956,2.59,1804,0.32,2357,1.83
05,03,0506,0.90,1019,2.67,1846,0.32,,
05,04,0045,1.77,0527,0.97,1043,2.72,1929,0.33
05,05,0132,1.69,0549,1.04,1110,2.72,2013,0.36
05,06,0219,1.62,0612,1.14,1141,2.67,2058,0.39
05,07,0310,1.55,0636,1.25,1218,2.57,2144,0.42
05,08,0411,1.51,0702,1.37,1303,2.43,2230,0.44
05,09,1407,2.26,2320,0.47,,,,
05,10,0658,1.62,1021,1.55,1536,2.12,,
05,11,0012,0.50,0736,1.73,1206,1.41,1719,2.06
05,12,0106,0.53,0756,1.84,1327,1.17,1841,2.08
05,13,0156,0.58,0806,2.00,1431,0.87,1946,2.09
05,14,0240,0.65,0817,2.22,1527,0.58,2047,2.06
05,15,0318,0.73,0837,2.50,1621,0.33,2153,2.00
05,16,0352,0.83,0905,2.77,1717,0.15,2303,1.93
05,17,0422,0.93,0938,2.97,1815,0.03,,
05,18,0007,1.85,0448,1.02,1014,3.07,1914,-0.03
05,19,0104,1.77,0515,1.09,1052,3.06,2010,-0.04
05,20,0158,1.71,0547,1.16,1134,2.94,2101,-0.02
05,21,0254,1.66,0627,1.26,1223,2.75,2151,0.04
05,22,0358,1.64,0720,1.36,1325,2.52,2239,0.13
05,23,0510,1.67,0852,1.45,1442,2.28,2328,0.25
05,24,0619,1.76,1057,1.39,1630,2.07,,
05,25,0018,0.38,0708,1.87,1228,1.22,1821,1.93
05,26,0106,0.52,0739,1.99,1344,0.99,1928,1.82
05,27,0150,0.66,0753,2.13,1446,0.75,2033,1.73
05,28,0228,0.79,0804,2.29,1540,0.56,2137,1.67
05,29,0259,0.89,0823,2.45,1631,0.42,2233,1.66
05,30,0325,0.96,0847,2.59,1721,0.33,2320,1.66
05,31,0349,1.01,0915,2.69,1810,0.29,,
06,01,0002,1.67,0416,1.03,0945,2.75,1856,0.27
06,02,0042,1.66,0445,1.06,1017,2.78,1939,0.27
06,03,0121,1.64,0516,1.10,1052,2.76,2017,0.28
06,04,0201,1.62,0549,1.16,1130,2.70,2052,0.30
06,05,0245,1.59,0626,1.24,1212,2.59,2125,0.32
06,06,0335,1.58,0712,1.32,1300,2.46,2157,0.36
06,07,0436,1.60,0828,1.38,1355,2.30,2230,0.42
06,08,0536,1.66,1001,1.35,1500,2.13,2309,0.51
06,09,0615,1.76,1121,1.22,1619,1.96,2354,0.62
06,10,0633,1.91,1243,1.02,1756,1.83,,
06,11,0043,0.74,0647,2.14,1359,0.75,1928,1.75
06,12,0133,0.86,0714,2.43,1506,0.48,2059,1.70
06,13,0217,0.96,0749,2.71,1611,0.25,2217,1.69
06,14,0257,1.04,0828,2.94,1719,0.08,2317,1.70
06,15,0334,1.10,0912,3.07,1823,-0.04,,
06,16,0008,1.70,0410,1.13,0958,3.09,1918,-0.11
06,17,0055,1.70,0450,1.15,1047,3.01,2005,-0.12
06,18,0142,1.71,0536,1.17,1140,2.87,2047,-0.06
06,19,0231,1.72,0633,1.20,1233,2.68,2126,0.04
06,20,0322,1.75,0747,1.23,1326,2.46,2203,0.19
06,21,0417,1.79,0908,1.22,1417,2.20,2238,0.37
06,22,0510,1.85,1022,1.18,1515,1.91,2315,0.57
06,23,0553,1.94,1143,1.09,1721,1.63,2353,0.77
06,24,0621,2.05,1315,0.93,1926,1.48,,
06,25,0035,0.94,0640,2.19,1433,0.72,2054,1.44
06,26,0117,1.05,0706,2.34,1537,0.54,2158,1.47
06,27,0156,1.11,0738,2.49,1634,0.40,2242,1.53
06,28,0233,1.12,0813,2.61,1726,0.30,2319,1.58
06,29,0309,1.11,0849,2.70,1812,0.25,2352,1.61
06,30,0345,1.09,0928,2.75,1853,0.22,,
07,01,0024,1.63,0422,1.08,1007,2.78,1928,0.22
07,02,0056,1.64,0501,1.09,1049,2.76,1959,0.23
07,03,0128,1.64,0545,1.10,1131,2.71,2025,0.27
07,04,0201,1.65,0636,1.13,1213,2.62,2050,0.31
07,05,0233,1.66,0738,1.14,1256,2.48,2113,0.38
07,06,0301,1.70,0841,1.12,1341,2.30,2137,0.47
07,07,0324,1.77,0942,1.07,1433,2.07,2206,0.61
07,08,0356,1.90,1047,0.97,1538,1.81,2243,0.78
07,09,0441,2.09,1205,0.83,1722,1.57,2330,0.96
07,10,0532,2.32,1332,0.63,2003,1.48,,
07,11,0030,1.11,0624,2.57,1454,0.40,2133,1.53
07,12,0130,1.19,0716,2.80,1614,0.20,2231,1.60
07,13,0223,1.21,0810,2.95,1722,0.03,2316,1.66
07,14,0312,1.19,0904,3.03,1817,-0.08,2355,1.71
07,15,0401,1.15,1000,3.03,1903,-0.11,,
07,16,0032,1.76,0455,1.10,1054,2.96,1943,-0.07
07,17,0109,1.81,0558,1.06,1143,2.83,2017,0.03
07,18,0146,1.87,0702,1.02,1227,2.64,2046,0.18
07,19,0222,1.92,0757,0.99,1307,2.40,2111,0.37
07,20,0252,1.96,0850,0.98,1347,2.10,2134,0.57
07,21,0318,2.01,0945,0.98,1431,1.77,2156,0.79
07,22,0351,2.07,1052,0.97,1533,1.44,2222,1.00
07,23,0436,2.14,1234,0.90,1948,1.31,2303,1.17
07,24,0528,2.23,1428,0.72,2127,1.39,,
07,25,0007,1.28,0620,2.34,1537,0.53,2214,1.50
07,26,0112,1.30,0708,2.47,1630,0.40,2243,1.58
07,27,0204,1.25,0754,2.58,1714,0.31,2307,1.63
07,28,0250,1.19,0839,2.68,1753,0.26,2330,1.67
07,29,0334,1.11,0923,2.76,1827,0.25,2352,1.70
07,30,0421,1.05,1006,2.80,1856,0.26,,
07,31,0014,1.74,0512,1.00,1048,2.80,1922,0.29
08,01,0034,1.78,0606,0.95,1128,2.75,1944,0.34
08,02,0053,1.84,0658,0.91,1208,2.63,2004,0.42
08,03,0109,1.92,0746,0.87,1247,2.46,2023,0.51
08,04,0128,2.02,0834,0.83,1328,2.22,2043,0.64
08,05,0154,2.13,0926,0.79,1415,1.93,2107,0.81
08,06,0232,2.25,1027,0.74,1520,1.62,2138,1.02
08,07,0326,2.37,1147,0.67,1842,1.41,2223,1.24
08,08,0438,2.49,1321,0.53,2055,1.49,2347,1.39
08,09,0556,2.62,1455,0.34,2157,1.61,,
08,10,0115,1.40,0707,2.77,1610,0.17,2232,1.71
08,11,0222,1.32,0812,2.90,1706,0.04,2300,1.78
08,12,0325,1.19,0911,2.97,1753,0.00,2325,1.86
08,13,0429,1.06,1003,2.98,1832,0.03,2350,1.95
08,14,0527,0.93,1050,2.91,1905,0.13,,
08,15,0015,2.05,0616,0.84,1133,2.76,1932,0.27
08,16,0039,2.14,0701,0.79,1211,2.55,1953,0.44
08,17,0100,2.21,0744,0.77,1247,2.28,2010,0.62
08,18,0122,2.26,0827,0.78,1325,1.98,2025,0.81
08,19,0146,2.29,0916,0.82,1408,1.66,2043,1.01
08,20,0218,2.29,1014,0.86,1645,1.37,2103,1.21
08,21,0307,2.27,1143,0.87,,,,
08,22,0424,2.26,1408,0.74,,,,
08,23,0546,2.31,1514,0.59,2210,1.66,,
08,24,0052,1.49,0650,2.42,1600,0.47,2226,1.74
08,25,0157,1.37,0744,2.55,1639,0.41,2239,1.79
08,26,0252,1.23,0831,2.67,1713,0.38,2250,1.84
08,27,0345,1.08,0916,2.77,1742,0.38,2302,1.90
08,28,0437,0.94,0958,2.82,1809,0.41,2316,1.99
08,29,0526,0.82,1040,2.80,1833,0.46,2332,2.10
08,30,0611,0.72,1120,2.72,1855,0.54,2349,2.23
08,31,0655,0.65,1200,2.56,1914,0.63,,
09,01,0008,2.36,0739,0.60,1240,2.33,1931,0.75
09,02,0031,2.49,0825,0.59,1323,2.05,1949,0.91
09,03,0100,2.59,0917,0.59,1421,1.75,2009,1.10
09,04,0138,2.63,1022,0.59,1657,1.51,2033,1.32
09,05,0233,2.59,1146,0.56,,,,
09,06,0402,2.54,1319,0.46,2125,1.70,2349,1.64
09,07,0556,2.58,1441,0.33,2148,1.82,,
09,08,0131,1.51,0720,2.71,1543,0.22,2209,1.92
09,09,0245,1.28,0821,2.82,1633,0.19,2225,2.01
09,10,0346,1.05,0911,2.87,1714,0.22,2239,2.12
09,11,0439,0.86,0957,2.84,1748,0.32,2255,2.26
09,12,0525,0.73,1039,2.73,1817,0.45,2315,2.39
09,13,0608,0.65,1120,2.57,1838,0.60,2336,2.49
09,14,0648,0.61,1159,2.35,1853,0.75,2356,2.56
09,15,0727,0.62,1240,2.11,1908,0.90,,
09,16,0016,2.59,0808,0.66,1328,1.86,1923,1.06
09,17,0038,2.59,0854,0.72,1456,1.62,1938,1.24
09,18,0106,2.53,0951,0.79,1645,1.48,1925,1.41
09,19,0144,2.43,1110,0.82,,,,
09,20,0258,2.30,1259,0.78,,,,
09,21,0509,2.26,1416,0.69,2143,1.84,,
09,22,0047,1.64,0629,2.35,1503,0.61,2147,1.91
09,23,0202,1.44,0727,2.47,1541,0.57,2149,1.98
09,24,0257,1.21,0816,2.59,1615,0.56,2155,2.06
09,25,0346,0.99,0901,2.68,1646,0.58,2205,2.18
09,26,0432,0.79,0946,2.70,1714,0.63,2219,2.34
09,27,0518,0.62,1029,2.65,1740,0.71,2237,2.52
09,28,0602,0.49,1114,2.53,1802,0.81,2258,2.71
09,29,0646,0.42,1201,2.34,1822,0.92,2322,2.85
09,30,0732,0.40,1255,2.11,1839,1.05,2349,2.94
10,01,0822,0.41,1412,1.88,1857,1.20,,
10,02,0021,2.95,0921,0.45,1541,1.70,1919,1.37
10,03,0101,2.85,1031,0.48,1722,1.63,1940,1.56
10,04,0159,2.67,1146,0.47,,,,
10,05,0349,2.49,1302,0.43,2048,1.90,,
10,06,0019,1.70,0617,2.49,1409,0.39,2109,2.02
10,07,0147,1.44,0728,2.57,1503,0.39,2126,2.13
10,08,0251,1.14,0820,2.61,1548,0.44,2136,2.25
10,09,0343,0.89,0906,2.59,1625,0.54,2145,2.40
10,10,0431,0.70,0950,2.51,1656,0.68,2201,2.56
10,11,0515,0.58,1036,2.39,1721,0.81,2221,2.70
10,12,0557,0.52,1124,2.25,1738,0.94,2242,2.79
10,13,0637,0.51,1216,2.10,1753,1.04,2303,2.84
10,14,0717,0.54,1313,1.95,1810,1.15,2325,2.85
10,15,0759,0.59,1411,1.81,1829,1.27,2350,2.81
10,16,0847,0.65,1511,1.70,1844,1.41,,
10,17,0020,2.71,0942,0.70,1624,1.63,1849,1.55
10,18,0057,2.56,1044,0.74,,,,
10,19,0154,2.36,1151,0.75,,,,
10,20,0355,2.21,1256,0.74,2048,1.93,,
10,21,0034,1.69,0549,2.21,1350,0.72,2045,2.02
10,22,0150,1.44,0659,2.29,1434,0.73,2050,2.13
10,23,0243,1.16,0754,2.36,1512,0.75,2056,2.27
10,24,0331,0.89,0845,2.41,1546,0.81,2107,2.46
10,25,0418,0.64,0935,2.39,1617,0.88,2125,2.69
10,26,0505,0.45,1029,2.33,1644,0.98,2149,2.92
10,27,0553,0.33,1129,2.21,1708,1.08,2216,3.10
10,28,0644,0.26,1233,2.08,1728,1.17,2247,3.19
10,29,0738,0.25,1336,1.95,1750,1.27,2320,3.18
10,30,0834,0.27,1438,1.83,1817,1.39,2358,3.07
10,31,0932,0.31,1547,1.76,1851,1.53,,
11,01,0044,2.86,1030,0.35,1714,1.77,1941,1.69
11,02,0150,2.60,1129,0.40,1855,1.87,2219,1.78
11,03,0343,2.37,1228,0.45,1947,2.01,,
11,04,0022,1.59,0617,2.30,1325,0.52,2017,2.14
11,05,0141,1.30,0724,2.26,1415,0.62,2034,2.27
11,06,0242,1.00,0819,2.20,1457,0.74,2042,2.42
11,07,0334,0.76,0913,2.13,1532,0.87,2053,2.59
11,08,0423,0.59,1008,2.05,1600,1.00,2111,2.75
11,09,0510,0.49,1102,2.00,1621,1.10,2133,2.86
11,10,0555,0.44,1151,1.95,1639,1.17,2158,2.93
11,11,0640,0.44,1237,1.90,1659,1.22,2223,2.96
11,12,0725,0.47,1322,1.85,1724,1.28,2251,2.94
11,13,0809,0.50,1407,1.79,1750,1.36,2322,2.87
11,14,0851,0.54,1455,1.73,1816,1.46,2357,2.76
11,15,0932,0.58,1554,1.70,1843,1.57,,
11,16,0039,2.60,1013,0.63,,,,
11,17,0132,2.40,1055,0.67,1843,1.81,2155,1.76
11,18,0248,2.20,1141,0.73,1920,1.91,2349,1.63
11,19,0429,2.05,1230,0.79,1938,2.03,,
11,20,0115,1.38,0613,2.00,1319,0.85,1945,2.18
11,21,0217,1.09,0728,2.00,1404,0.93,1953,2.39
11,22,0311,0.79,0836,2.00,1443,1.01,2011,2.65
11,23,0403,0.53,0946,1.98,1517,1.10,2038,2.93
11,24,0458,0.33,1054,1.95,1548,1.18,2111,3.14
11,25,0556,0.20,1152,1.92,1616,1.24,2147,3.26
11,26,0655,0.12,1246,1.88,1645,1.30,2226,3.27
11,27,0750,0.08,1337,1.84,1719,1.35,2309,3.17
11,28,0839,0.10,1431,1.81,1800,1.42,2356,2.99
11,29,0926,0.15,1531,1.80,1853,1.51,,
11,30,0050,2.75,1010,0.25,1640,1.83,2019,1.59
12,01,0154,2.48,1056,0.37,1749,1.92,2222,1.56
12,02,0307,2.20,1142,0.53,1842,2.04,2356,1.41
12,03,0549,1.96,1231,0.70,1918,2.16,,
12,04,0123,1.17,0720,1.82,1317,0.87,1937,2.30
12,05,0233,0.90,0838,1.73,1359,1.02,1945,2.45
12,06,0331,0.67,0946,1.69,1433,1.13,2002,2.61
12,07,0425,0.51,1037,1.70,1501,1.20,2028,2.75
12,08,0517,0.40,1120,1.72,1526,1.23,2057,2.85
12,09,0607,0.35,1158,1.74,1553,1.24,2129,2.90
12,10,0652,0.33,1235,1.75,1623,1.25,2202,2.91
12,11,0732,0.34,1311,1.74,1655,1.27,2237,2.88
12,12,0807,0.36,1348,1.72,1730,1.31,2314,2.82
12,13,0839,0.40,1426,1.70,1806,1.37,2354,2.72
12,14,0906,0.45,1510,1.69,1850,1.44,,
12,15,0035,2.57,0932,0.51,1605,1.70,1958,1.50
12,16,0121,2.39,0958,0.58,1706,1.74,2130,1.50
12,17,0214,2.17,1028,0.68,1749,1.83,2251,1.41
12,18,0320,1.93,1105,0.80,1805,1.97,,
12,19,0018,1.23,0453,1.72,1151,0.94,1817,2.18
12,20,0142,0.97,0711,1.60,1246,1.07,1845,2.45
12,21,0251,0.69,0903,1.61,1339,1.17,1922,2.73
12,22,0357,0.43,1015,1.65,1424,1.23,2003,2.98
12,23,0504,0.22,1109,1.70,1505,1.27,2048,3.14
12,24,0605,0.05,1155,1.73,1545,1.27,2136,3.20
12,25,0658,-0.05,1238,1.75,1628,1.26,2226,3.16
12,26,0744,-0.08,1322,1.77,1715,1.26,2318,3.04
12,27,0824,-0.03,1407,1.80,1813,1.27,,
12,28,0009,2.87,0900,0.07,1455,1.83,1927,1.29
12,29,0056,2.63,0935,0.23,1547,1.88,2043,1.28
12,30,0142,2.34,1008,0.43,1640,1.94,2153,1.25
12,31,0229,2.00,1040,0.66,1727,2.02,2311,1.19
